agency,title,description,formats,link,
Ministry for Primary Industries,National Aquatic Biodiversity Information System (NABIS) - Fish Layers,This group of data layers contains all of the species distributions for 108 different fish species around New Zealand.,['Other Geo'],https://data.govt.nz/dataset/show/3740,
Ministry for Primary Industries,National Aquatic Biodiversity Information System (NABIS) - Birds Layers,This group of data layers contains all of the species distributions for 48 different seabird species around New Zealand.,['Other Geo'],https://data.govt.nz/dataset/show/3743,
Ministry for Primary Industries,National Aquatic Biodiversity Information System (NABIS) - Plants Layers,This group of data layers contains all of the species distributions for 17 different marine plant species around New Zealand.,['Other Geo'],https://data.govt.nz/dataset/show/3742,
Ministry for Primary Industries,National Aquatic Biodiversity Information System (NABIS) - Inverterbrates Layers,This group of data layers contains all of the species distributions for 62 different marine invertebrate species around New Zealand.,['Other Geo'],https://data.govt.nz/dataset/show/3741,
Canterbury Earthquake Recovery Authority,Christchurch CBD Cordon (WGS84),"Service Contains each of the cordon changes to the Christchurch CBD Red Zone, with each layer showing the date that cordon extent was enforced.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/3080,
Canterbury Earthquake Recovery Authority,Christchurch Aerial Photography (24 February 2011),Colour orthophotography of the area affected by the 22 February 2011 Christchurch earthquake.,['Other Geo'],https://data.govt.nz/dataset/show/3090,
New Zealand Walking Access Commission,Public Access Areas,Public Walking Access Areas are derived from the LINZ BDE data.,['Other Geo'],https://data.govt.nz/dataset/show/3630,
Canterbury Earthquake Recovery Authority,Christchurch Flood and Floor Level Data (NZTM),Flood data for specific areas within the Christchurch City catchments.,['Other Geo'],https://data.govt.nz/dataset/show/3083,
Canterbury Earthquake Recovery Authority,CCDU - An Accessible City Transport Plan (WGS84),Data in this service is intended to provide a more detailed view of the Christchurch Central transport plan (An Accessible City) to accompany documents on the CCDU Website: https://ccdu.govt.nz/the-plan/an-accessible-city.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/3289,
Canterbury Earthquake Recovery Authority,CCDU - An Accessible City Transport Plan (NZTM),Data in this service is intended to provide a more detailed view of the Christchurch Central transport plan (An Accessible City) to accompany documents on the CCDU Website: https://ccdu.govt.nz/the-plan/an-accessible-city.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/3091,
GNS Science,"QMAP 1:250,000 Geological Map of New Zealand","National geological map coverage of New Zealand at 1:250,000.","['KML', 'Other Geo']",https://data.govt.nz/dataset/show/3382,
Canterbury Earthquake Recovery Authority,CERA Demolition Data (WGS84),"Shows those buildings that are demolished, set for demolition or partially demolished.",['Other Geo'],https://data.govt.nz/dataset/show/3294,
Canterbury Earthquake Recovery Authority,Christchurch CBD Cordon (NZTM),"Service Contains each of the cordon changes to the Christchurch CBD Red Zone, with each layer showing the date that cordon extent was enforced.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/3081,
Canterbury Earthquake Recovery Authority,CERA Demolition Data (NZTM),"Shows those buildings that are demolished, set for demolition or partially demolished.",['Other Geo'],https://data.govt.nz/dataset/show/3082,
Canterbury Earthquake Recovery Authority,Port Hills Rockfall Data (NZTM),"GIS layers depicting the results of a three-dimension (3D) rockfall modelling study on the Port Hills, conducted by Geovert Limited.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/3084,
Canterbury Earthquake Recovery Authority,Christchurch CBD Aerial Photography (16 October 2012),"High resolution aerial photography flown of the Christchurch Central Business District on October 16, 2012.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/3093,
Canterbury Earthquake Recovery Authority,Christchurch CBD Aerial Photography - Interim Recovery Sets,Aerial Photography flown by SkyCam (http://skycamnz.co.nz/) on behalf of CERA.,['Other Geo'],https://data.govt.nz/dataset/show/3285,
GNS Science,Geonet Earthquake data,"Real time updates of earthquakes in NZ, lat/long, intensity, depth.","['CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/648,
Ministry of Education,School enrolment zones,Enrolment Scheme Home Zones are available to download in MAPINFO format in NZMG coordinate system.,['Other Geo'],https://data.govt.nz/dataset/show/54,
Northland Regional Council,Northland Dune Lakes,Dune Lakes of Northland.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/846,
Department of Conservation,Ferret distribution in Northland (1 July 2007),This dataset represents the terrestrial distribution of Ferret (Mustela furo) in Northland as at 1 July 2007.,"['CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/942,
Wellington City Council,Wellington City Aerial Imagery (1999),Orthophotography flown 4 January 1999 for southern Wellington City urban areas.,"['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/990,
Wellington City Council,Wellington City Sculptures,"This dataset contains sculptures in areas owned/maintained by Parks & Gardens Business Unit, Wellington City Council.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1134,
Landcare Research,"Soil Map of the Manawatu County, North Island, New Zealand",The dataset contains polygons of soils of the Manawatu mapped at 1:63360.,"['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/1230,
Landcare Research,FSL Salinity,"The New Zealand Fundamental Soil Layer originates from a relational join of features from two databases: the New Zealand Land Resource Inventory (NZLRI), and the National Soils Database (NSD).","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/1254,
Landcare Research,FSL   Particle Size Classification,"The New Zealand Fundamental Soil Layer originates from a relational join of features from two databases: the New Zealand Land Resource Inventory (NZLRI), and the National Soils Database (NSD).","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/1278,
Land Information New Zealand,NZ Topo250 Maps,"The Topo250 map series provides topographic mapping for the New Zealand mainland, the Chatham Islands at 1:250,000 scale.","['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1326,
Land Information New Zealand,NZ Cadastral Adjustments,This layer provides the extents of influence that the work to integrate survey information has on the surrounding Cadastre.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1350,
Land Information New Zealand,24 Mile Contiguous Zone Basepoints,"New Zealand Contiguous Zone The contiguous zone is a zone of 12 nautical miles beyond the territorial sea in which New Zealand, as the coastal state, may take action to prevent or punish any infringement of its customs, fiscal, immigration or sanitary laws or regulations applicable within its land territory or territorial sea.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1374,
Land Information New Zealand,"NZ Road Centrelines (Topo, 1:500k)",Any formed all weather route suitable for the passage of any vehicle.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1398,
Land Information New Zealand,"NZ Native Polygons (Topo, 1:500k)",A tract of land covered by trees native to New Zealand.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1422,
Land Information New Zealand,"Light points (Hydro, 1:4k - 1:22k)",A luminous or lighted aid to navigation.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1446,
Land Information New Zealand,"NZ Exotic Polygons (Topo, 1:250k)",A tract of land covered by trees not native to New Zealand Data Dictionary for exotic_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-exotic_poly] This layer is a component of the Topo250 map series.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1470,
Land Information New Zealand,"Beacon, safe water points (Hydro, 1:4k - 1:22k)",A beacon is a prominent specially constructed object forming a conspicuous mark as a fixed aid to navigation or for use in hydrographic survey.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1494,
Land Information New Zealand,"Production/storage area polygons (Hydro, 1:4k - 1:22k)",An area on land for the exploitation or storage of natural resources.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1518,
Land Information New Zealand,"Waterfall points (Hydro, 1:4k - 1:22k)",A sudden descent of water over a step in the bed of a river.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1542,
Land Information New Zealand,"Wreck points (Hydro, 1:90k - 1:350k)",The ruined remains of a stranded or sunken vessel which has been rendered useless.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1566,
Land Information New Zealand,"Signal station, warning points (Hydro, 1:4k - 1:22k)",A signal station is a place on shore from which signals are made to ships at sea.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1590,
Land Information New Zealand,"Precautionary area polygons (Hydro, 1:4k - 1:22k)",A routeing measure comprising an area within defined limits where ships must navigate with particular caution and within which the direction of traffic flow may be recommended.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1614,
Land Information New Zealand,"Radio station points (Hydro, 1:4k - 1:22k)",A place equipped to transmit radio waves.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1638,
Land Information New Zealand,"Airport/airfield polygon (Hydro, 1:22k - 1:90k)","An area containing at least one runway, used for landing, take-off, and movement of aircraft.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1662,
Land Information New Zealand,"Dredged area polygon (Hydro, 1:22k - 1:90k)",An area of the bottom of a body of water which has been deepened by dredging.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1686,
Land Information New Zealand,"Bridge polyline (Hydro, 1:22k - 1:90k)","A structure erected over a depression or an obstacle such as a body of water, railroad, etc...","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1710,
Land Information New Zealand,"Harbour area (administrative) polygons (Hydro, 1:4k - 1:22k)",The area over which a harbour authority has jurisdiction.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1734,
Land Information New Zealand,"NZ Golf Course Polygons (Topo, 1:50k)",An area set aside for playing golf.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1758,
Land Information New Zealand,"NZ Stockyard Points (Topo, 1:50k)","A holding place for livestock (cattle, sheep etc.) Data Dictionary for stockyard_pnt: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-stockyard_pnt] This layer is a component of the Topo50 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1782,
Land Information New Zealand,"NZ Swamp Points (Topo, 1:50k)","A wet or moist region with water standing on or just below the surface of the ground, and usually covered by a growth of vegetation Data Dictionary for swamp_pnt: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-swamp_pnt] This layer is a component of the Topo50 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1806,
Land Information New Zealand,"NZ Beacon Points (Topo, 1:250k)","A fixed signal, mark or light erected for the guidance of mariners or aeroplane pilots.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1830,
Land Information New Zealand,"NZ Chimney Points (Topo, 1:50k)",A structure containing a passage or flue which discharges smoke and gases from combustion.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1854,
Land Information New Zealand,"NZ Rock Points (Topo, 1:50k)",An isolated rock or rock formation between high and low tides.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1878,
Land Information New Zealand,"NZ Flume Points (Topo, 1:50k)","A flat bottomed timber trough or other open channel, generally formed in concrete, for the conveyance of water Data Dictionary for flume_pnt: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-flume_pnt] This layer is a component of the Topo50 map series.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/1902,
Land Information New Zealand,"NZ Cutting Edges (Topo, 1:50k)","An excavation of the Earth's surface to provide passage for a road, railway, canal etc Data Dictionary for cutting_edge: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-cutting_edge] This layer is a component of the Topo50 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1926,
Land Information New Zealand,"Topmark points (Hydro, 1:90k - 1:350k)",A characteristic shape secured at the top of a buoy or beacon to aid in its identification.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1950,
Land Information New Zealand,"Caution area  polygon (Hydro, 1:90k - 1:350k)","Generally, an area where the mariner has to be made aware of circumstances influencing the safety of navigation.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1974,
Land Information New Zealand,"NZ Chatham Is Mud Polygons (Topo, 1:250k)","An area of wet, soft earthy matter Data Dictionary for mud_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-mud_poly] This layer is a component of the Topo250 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1998,
Land Information New Zealand,"NZ Chatham Is Dam Centrelines (Topo, 1:50k)",A barrier constructed across a watercourse to control the flow or raise the level of water Data Dictionary for dam_cl: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-dam_cl] This layer is a component of the Topo50 map series.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2022,
Land Information New Zealand,"NZ Chatham Is Breakwater Centrelines (Topo, 1:50k)","A structure built to break the force of waves to protect a beach, harbour or other waterfront facility.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2046,
Land Information New Zealand,"NZ Chatham Is Sand Polygons (Topo, 1:250k)","Sand: crushed rock, shells etc smaller than 2mm in size Data Dictionary for sand_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-sand_poly] This layer is a component of the Topo250 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2070,
Porirua City Council,Porirua City Council Wards,Current democratic boundaries for voting in Porirua City Council local body elections.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2094,
University of Otago - National School of Surveying,04 Dargaville 15m DEM (NZSoSDEM v1.0),"NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.","['API', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2166,
Land Information New Zealand,"NZ Kermadec Is Sand Polygons (Topo, 1:25k)","Sand: crushed rock, shells etc smaller than 2mm in size Data Dictionary for sand_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-sand_poly] Although captured and presented at 1:25,000 this layer, for all intents and purposes, forms part of the Topo50 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2190,
Land Information New Zealand,"NZ Snares Island Lake Polygons (Topo, 1:25k)",Any standing body of fresh inland water.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2214,
Land Information New Zealand,"NZ Auckland  Island Rock Outcrop Points (Topo, 1:50k)",An isolated rock formation that constitutes a prominent or unusual landmark Data Dictionary for rock_outcrop_pnt: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-rock_outcrop_pnt] This layer is a component of the Topo50 map series.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2238,
Land Information New Zealand,"NZ Antipodes Island River Centrelines (Topo, 1:25k)","A natural, flowing body of water emptying into an ocean, lake or other body of water and usually fed along it's course by converging tributaries.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2262,
Land Information New Zealand,NZ Orthophotos 1996-1997,"LINZ publishes 1:25,000 scale orthophotos of New Zealand from its archive.","['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2310,
Landcare Research,GDM Classification of New Zealand Biotic Composition for All Forest Plants 5 groups,This layer provides a classification of New Zealand ecosystems according to plant composition.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/2334,
Landcare Research,GDM - Ferns - Underlying Data: discoasttran,This layer provides a transformation of environmental layer to best predict fern compositional turnover.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/2358,
Land Information New Zealand,"Gate polyline (Hydro, 1:22k - 1:90k)","A structure that may be swung, drawn, or lowered to block an entrance or passageway.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2502,
Land Information New Zealand,"NZ Ross Dependency Sand Polygons (ANT, 1:50k)","Sand: crushed rock, shells etc smaller than 2mm in size Data Dictionary for sand_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-sand_poly] This layer is a component of the Ant50 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2694,
NZ Transport Agency,NZTA Aerial Imagery Index Tiles 2010-2011,Index tiles representing orthophotography flown for NZTA roads for the 2010/11 season.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2718,
Land Information New Zealand,Chart NZ 5215 Whangarei Harbour,Raster chart image of: NZ 5215 Whangarei Harbour This data was compiled for the use at the following scale: 1:18000 File reference: NZ521501 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2766,
Land Information New Zealand,Chart NZ 2411 Solander Island (Hautere),Raster chart image of: NZ 2411 Solander Island (Hautere) This data was compiled for the use at the following scale: 1:30000 File reference: NZ241101 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2790,
Land Information New Zealand,Chart NZ 3111 Campbell Island / Motu Ihupuku,Raster chart image of: NZ 3111 Campbell Island / Motu Ihupuku This data was compiled for the use at the following scale: 1:150000 File reference: NZ311101 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2814,
Land Information New Zealand,"Chart NZ 23 New Zealand, North Island","Raster chart image of: NZ 23 New Zealand, North Island This data was compiled for the use at the following scale: 1:1500000 File reference: NZ2301 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.","['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2838,
Land Information New Zealand,Chart NZ 8215 Niuatoputapu Group and Niuafo'ou: Niuatoputapu Harbour,Raster chart image of: NZ 8215 Niuatoputapu Group and Niuafo'ou: Niuatoputapu Harbour This data was compiled for the use at the following scale: 1:9000 File reference: NZ821503 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2862,
Land Information New Zealand,Chart NZ 945 Plans of the Cook Islands - northern sheet: Manihiki Anchorage,Raster chart image of: NZ 945 Plans of the Cook Islands - northern sheet: Manihiki Anchorage This data was compiled for the use at the following scale: 1:15000 File reference: NZ94508 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2886,
Land Information New Zealand,Chart NZ 64 Banks Peninsula to Otago Peninsula,Raster chart image of: NZ 64 Banks Peninsula to Otago Peninsula This data was compiled for the use at the following scale: 1:400000 File reference: NZ6401 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2910,
Land Information New Zealand,Chart NZ 2325 Plans in Lake Taupo (Taupomoana): Western Bay,Raster chart image of: NZ 2325 Plans in Lake Taupo (Taupomoana): Western Bay This data was compiled for the use at the following scale: 1:40000 File reference: NZ232501 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2934,
Land Information New Zealand,Chart NZ 6422 Approaches to Timaru,Raster chart image of: NZ 6422 Approaches to Timaru This data was compiled for the use at the following scale: 1:35000 File reference: NZ642201 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2958,
Land Information New Zealand,Chart NZ 14638 Fiji to Kermadec Islands including Tongatapu,Raster chart image of: NZ 14638 Fiji to Kermadec Islands including Tongatapu This data was compiled for the use at the following scale: 1:1500000 File reference: NZ1463801 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/2982,
Land Information New Zealand,Chart NZ 5323 Auckland Harbour West: Kauri Point Wharf,Raster chart image of: NZ 5323 Auckland Harbour West: Kauri Point Wharf This data was compiled for the use at the following scale: 1:7500 File reference: NZ532302 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3006,
Land Information New Zealand,Chart NZ 57 Blackhead Point to Castle Point,Raster chart image of: NZ 57 Blackhead Point to Castle Point This data was compiled for the use at the following scale: 1:200000 File reference: NZ5701 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3030,
Land Information New Zealand,Chart NZ 7624 Charles Sound to Dagg Sound,Raster chart image of: NZ 7624 Charles Sound to Dagg Sound This data was compiled for the use at the following scale: 1:60000 File reference: NZ762401 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3054,
Canterbury Earthquake Recovery Authority,CERA Cartographic Basemap (Labelled),"Cached Map Service displaying the Cartographic Basemap (including labels) for Christchurch City, Selwyn and Waimakariri Districts.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/3078,
Land Information New Zealand,"Canterbury Earthquake Geodetic Marks (2010, 2011) - Simple",The Canterbury region of New Zealand experienced a sequence of significant earthquakes during 2010 and 2011.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3174,
Land Information New Zealand,"Magnetic variation polyline (Hydro, 1:1.5mil and smaller)","The angle between the magnetic and geographic (true) north at a location, expressed in degrees east or west from the direction of true north.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3198,
Land Information New Zealand,"Coastline polyline (Hydro, 1:1.5mil and smaller)",The line where shore and water meet.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3222,
Landcare Research,Mean August Soil Temperature (South Island),Soil temperature surfaces for the South Island of New Zealand are based on analysis of a combination of monthly mean soil temperature data from the NIWA (National Institute of Water and Atmospheric Research) 3 years data from 175 mini-data-loggers (1997-2000) laid out in a stratified sampling scheme at 7 climatically representative locations in the South Island.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/3270,
Land Information New Zealand,Chart NZ 864 Apolima Strait,Raster chart image of: NZ 864 Apolima Strait This data was compiled for the use at the following scale: 1:50000 File reference: NZ86401 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['API', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3342,
Land Information New Zealand,"Control point points (Hydro, 1:22k - 1:90k)",A point on the ground where position (horizontal and vertical) is used as a base for a dependent survey.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3366,
