Organisation,Sector,Common name,Postal address,Physical address,Generic Email,Generic Phone,Generic Fax,CE personal title,CE first name,CE surname,CE name suffix,CE greeting name,Mayor personal title,Mayor first name,Mayor surname,Mayor name suffix,Mayor greeting name,Chair personal title,Chair first name,Chair surname,Chair name suffix,Chair greeting name
Energy Safety,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Energy Safety,"PO Box 165 
Wellington 6140","86  Customhouse Quay 
Wellington",info@energysafety.govt.nz,"+64 3 962 6248 
0800 030 040",,,,,, ,,,,, ,,,,, 
Environment Court,"Public Service
    -> State Services
        -> Public Sector",Environment Court,,"Level 5 District Court Building 
49 Ballance Street 
Wellington 6011", EnvironmentCourt@justice.govt.nz,+64 4 918 8300,+64 4 918 8303,,,,, ,,,,, ,,,,, 
Environmental Protection Authority,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Environmental Protection Authority,"Private Bag 63002 
Wellington 6140","Level 10        
215 Lambton Quay 
Wellington 6011",info@epa.govt.nz,+64 4 916 2426,+64 4 914 0433,Dr,Allan,Freeth,,Dr Freeth,,,,, ,,Kerry,Prendergast,,Kerry Prendergast
External Reporting Board,"Independent crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",External Reporting Board,"PO Box 11250 
Manners St Central 
Wellington 6142","Level 7 
50 Manners Street 
Wellington",enquiries@xrb.govt.nz,+64 4 550 2030,+64 4 385 3256,,Warren,Allen,,Warren Allen,,,,, ,,Graeme,Mitchell,,Graeme Mitchell
FairWay Resolution Limited,"Public Finance Act Schedule 4a companies
    -> State Services
        -> Public Sector",FairWay Resolution Limited,"PO Box 2272 
Wellington 6140","Level 9 
109 Featherson Street 
Wellington  6011",fairwayinfo@fairwayresolution.com,"+64 4 918 4900
0800 774 422",+64 4 918 4901,,Greg,Pollock,,Greg Pollock,,,,, ,,Peter,Blades,,Peter Blades
Far North District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Far North District Council,"Private Bag 752
 
Kaikohe  0440","Memorial Avenue 
Kaikohe  0440",ask.us@fndc.govt.nz,"+64 9 401 5200
0800 920 029",+64 9 401 2137,,Colin,Dale,,Colin Dale,Hon,John,Carter,QSO,Hon Carter,,,,, 
Financial Markets Authority,"Independent crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Financial Markets Authority,"DX Box CX10033 
PO Box 106 672 
Auckland 1143","Level 5 Ernst & Young Building 
2 Takutai Square 
Britomart 
Auckland",,+64 4 472 9830,+64 4 472 8076,,Rob,Everett,,Rob Everett,,,,, ,,Murray,Jack,,Murray Jack
Gisborne District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Gisborne District Council,"PO Box 747 
Gisborne 4010","15 Fitzherbert Street 
Whataupoko 
Gisborne 4010",service@gdc.govt.nz,"+64 6 867 2049
0800 653 800",+64 6 867 8076,,Judy,Campbell,,Judy Campbell,,Meng,Foon,,Meng Foon,,,,, 
Gore District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Gore District Council,"PO Box 8 
Gore 9740","29 Civic Avenue 
Gore 9710",info@goredc.govt.nz,+64 3 209 0330,+64 3 209 0357,,Stephen ,Parry,,Stephen  Parry,,Tracy,Hicks,,Tracy Hicks,,,,, 
Government Communications Security Bureau,"Public Service
    -> State Services
        -> Public Sector",Government Communications Security Bureau,"PO Box 12209 
Wellington 6144","Pipitea House 
1-15 Pipitea Street 
Wellington 6144",info@gcsb.govt.nz,+64 4 472 6881,,,Andrew,Hampton,,Andrew Hampton,,,,, ,,,,, 
Government Superannuation Fund Authority,"Autonomous crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Government Superannuation Fund Authority,"PO Box 3390 
Wellington 6140","Level 12 The Todd Builiding      
95 Customhouse Quay 
Wellington 6011",enquiries@gsfa.govt.nz,+64 4 499 6999,,,Simon ,Tyler,,Simon  Tyler,,,,, ,,Keith ,Taylor,,Keith  Taylor
Grey District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Grey District Council,"PO Box 382 
Greymouth 7840","105 Tainui Street 
Greymouth 7805",info@greydc.govt.nz,+64 3 769 8600,+64 3 769 8603,,Paul,Pretorius,,Paul Pretorius,,Tony ,Kokshoorn,,Tony  Kokshoorn,,,,, 
Guardians of New Zealand Superannuation,"Autonomous crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Guardians of New Zealand Superannuation,"PO Box 106607 
Auckland 1143","Level 12    
21 Queen Street 
Auckland 1010",enquiries@nzsuperfund.co.nz,+64 9 300 6980,+64 9 300 6981,,Adrian,Orr,,Adrian Orr,,,,, ,,Catherine,Savage,,Catherine Savage
Hamilton City Council,"City Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Hamilton City Council,"Private Bag 3010 
Hamilton 3240","Municipal Offices 
Garden Place 
Hamilton",info@hcc.govt.nz,+64 7 838 6699,+64 7 838 6599,,Richard,Briggs,,Richard Briggs,,Andrew,King,,Andrew King,,,,, 
Hastings District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Hastings District Council,"Private Bag 9002 
Hastings 4156","Civic Administration Building 
207 Lyndon Road East 
Hastings",council@hdc.govt.nz,+64 6 871 5000,,,Ross,McLeod,,Ross McLeod,,Lawrence,Yule,,Lawrence Yule,,,,, 
Hauraki District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Hauraki District Council,"PO Box 17 
Paeroa 3640","1 William Street 
Paeroa 3600",info@hauraki-dc.govt.nz,"+64 7 862 8609
0800 734 834",+64 7 862 8607,,Langley,Cavers,,Langley Cavers,,John,Tregidga,,John Tregidga,,,,, 
Hawke's Bay District Health Board,"District Health Boards
    -> Crown agents
        -> Statutory entities
            -> Crown entities
                -> State Services
                    -> Public Sector",Hawke's Bay District Health Board,"Private Bag 9014 
Hastings 4156","Hawke's Bay Fallen Soldiers' Memorial Hospital 
Omahu Road 
Hastings 4156",ceo@hawkesbaydhb.govt.nz,+64 6 878 8109,+64 6 878 1648,,Kevin,Snee,,Kevin Snee,,,,, ,,Kevin,Atkinson,,Kevin Atkinson
Hawke's Bay Regional Council,"Regional Council
    -> Local Authority
        -> Public Sector",Hawke's Bay Regional Council,"Private Bag 6006 
Napier 4142","159 Dalton Street 
Napier 4110",info@hbrc.govt.nz,+64 6 835 9200,+64 6 835 3601,,Liz,Lambert,,Liz Lambert,,,,, ,,Fenton,Wilson,,Fenton Wilson
Health Promotion Agency,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Health Promotion Agency,"PO Box 2142 
Wellington 6140","Level 4 ASB House 
101 The Terrace 
Wellington 6140",enquiries@hpa.org.nz,+64 4 917 0060,+64 4 473 0890,,Clive,Nelson,,Clive Nelson,,,,, ,Dr,Lee,Mathias,,Dr Mathias
Health Quality and Safety Commission New Zealand,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Health Quality and Safety Commission New Zealand,"PO Box 25496 
Wellington 6146","Level 8 Customs House  
17-21 Whitmore Street 
Wellington 6011",info@hqsc.govt.nz,+64 4 901 6040,+64 4 901 6079,,Janice, Wilson,,Janice  Wilson,,,,, ,,Alan,Merry,,Alan Merry
Health Research Council of New Zealand,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Health Research Council of New Zealand,"PO Box 5541 
Auckland 1141","Level 3 ProCare Building 
110 Stanley Street 
Grafton Mews 
Auckland 1010",info@hrc.govt.nz,+64 9 303 5200,,Professor,Kathryn,McPherson,,Professor McPherson,,,,, ,Dr ,Lester ,Levy,,Dr  Levy
Health and Disability Commissioner,"Independent crown entities
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",Health and Disability Commissioner,"PO Box 1791 
Auckland 1140","Level 10 Tower Centre 
45 Queen Street 
Auckland 1010",hdc@hdc.org.nz,"+64 9 373 1060
0800 11 22 33",+64 9 373 1061,,Anthony,Hill,,Anthony Hill,,,,, ,,,,, 
Heartland Services,"Public Service
    -> State Services
        -> Public Sector",Heartland Services,"PO Box 1556 
Wellington","Bowen State Building 
Bowen Street 
Wellington",heartlands@msd.govt.nz,,,,,,, ,,,,, ,,,,, 
